Lat[deg],Lng[deg],AccX,AccY,AccZ,GyroX,GyroY,GyroZ
33.8809014,130.7073494,0.000488,-0.066162,0.996826,-7.202148,-21.911621,44.311523
33.8809011,130.70734760000002,0.069824,0.386963,0.906494,3.234863,-8.178711,37.841797
33.8809008,130.7073458,0.069824,0.386963,0.906494,3.234863,-8.178711,37.841797
33.880900499999996,130.707344,-0.037842,0.362305,1.084473,-9.582520,8.789062,43.029785
33.8809002,130.7073422,0.190186,0.302246,1.114502,-0.366211,3.967285,15.991211
33.880899899999996,130.7073404,0.130859,0.353027,1.002930,-3.784180,11.047363,-10.314941
33.8808996,130.7073386,0.121338,0.353271,1.053467,-0.549316,4.455566,-23.986816
33.8808993,130.7073368,-0.076660,0.381348,1.007080,-5.615234,-0.488281,-18.432617
33.880899,130.707335,-0.117676,0.046631,0.974609,-20.385742,17.883301,0.732422
33.8808984,130.7073328,-0.097168,0.261475,1.038818,9.948730,12.939453,-3.662109
33.8808978,130.7073306,-0.097168,0.261475,1.038818,9.948730,12.939453,-3.662109
33.8808972,130.7073284,0.059326,0.240967,1.008545,2.563477,-5.187988,-9.094238
33.8808966,130.7073262,-0.069824,0.297363,1.200439,-8.239746,-6.225586,11.413574
33.880896,130.707324,0.022461,0.118164,0.935791,8.972168,-15.747070,12.023926
33.8808954,130.7073218,0.001953,0.251221,1.119873,-11.413574,-0.793457,16.052246
33.8808948,130.7073196,0.029053,0.331787,1.386963,-13.488770,-0.549316,18.798828
33.8808942,130.7073174,0.100342,0.197998,1.171143,-19.165039,11.169434,2.868652
33.8808936,130.7073152,0.186035,0.167480,1.243652,-9.765625,4.821777,-3.540039
33.880893,130.707313,0.186035,0.167480,1.243652,-9.765625,4.821777,-3.540039
33.8808919,130.7073105,0.025879,0.170654,1.164307,-9.216309,12.268066,4.211426
33.8808908,130.707308,0.114258,0.277588,1.081299,2.502441,-6.225586,25.512695
33.8808897,130.7073055,-0.176025,0.073242,1.028076,-13.916016,7.812500,26.306152
33.8808886,130.707303,0.047363,0.260986,0.881104,5.981445,4.150391,3.784180
33.8808875,130.7073005,0.012451,0.118408,1.163818,-15.991211,8.972168,-14.770508
33.8808864,130.707298,-0.097412,0.331787,1.163818,-11.169434,7.385254,-24.841309
33.8808853,130.70729550000001,0.045898,0.310303,1.022217,2.258301,3.601074,-20.996094
33.8808842,130.707293,0.045898,0.310303,1.022217,2.258301,3.601074,-20.996094
33.8808831,130.7072905,-0.044922,0.234619,0.987305,-10.192871,3.295898,-1.892090
33.880882,130.707288,0.031982,-0.012939,1.112305,-21.423340,-18.188477,13.610840
33.88088059999999,130.7072854,-0.140137,0.177490,1.054932,-4.333496,-7.751465,1.892090
33.8808792,130.7072828,-0.052490,0.409424,1.131348,-2.380371,3.479004,9.460449
33.88087780000001,130.7072802,-0.071533,0.269775,0.981445,3.845215,1.098633,15.014648
33.8808764,130.7072776,-0.061035,0.374268,0.731934,22.338867,4.272461,9.277344
